trip_id,stop_id
11929569_M11,5224
11929569_M11,7219
11929569_M21,5240
11929569_M21,4510
11929569_M21,7217
11929569_M21,6996
11929569_M21,3912
11929569_M21,5199
11929569_M21,5224
11929569_M21,7219
11929570_M11,5240
11929570_M11,4510
11929570_M11,7217
11929570_M11,6996
11929570_M11,3912
11929570_M11,5199
11929570_M11,5224
11929570_M11,7219
11929570_M21,5240
11929570_M21,4510
11929570_M21,7217
11929570_M21,6996
11929570_M21,3912
11929570_M21,5199
11929570_M21,5224
11929570_M21,7219
11929571_M11,5240
11929571_M11,4510
11929571_M11,7217
11929571_M11,6996
11929571_M11,3912
11929571_M11,5199
11929571_M11,5224
11929571_M11,7219
11929571_M21,5240
11929571_M21,4510
11929571_M21,7217
11929571_M21,6996
11929571_M21,3912
11929571_M21,5199
11929571_M21,5224
11929571_M21,7219
11929572_M11,5240
11929572_M11,4510
11929572_M11,7217
11929572_M11,6996
11929572_M11,3912
11929572_M11,5199
11929572_M11,5224
11929572_M11,7219
11929572_M21,5240
11929572_M21,4510
11929572_M21,7217
11929572_M21,6996
11929572_M21,3912
11929572_M21,5199
11929572_M21,5224
11929572_M21,7219
11929573_M11,5240
11929573_M11,4510
11929573_M11,7217
11929573_M11,6996
11929573_M11,3912
11929573_M11,5199
11929573_M11,5224
11929573_M11,7219
11929573_M21,5240
11929573_M21,4510
11929573_M21,7217
11929573_M21,6996
11929573_M21,3912
11929573_M21,5199
11929573_M21,5224
11929573_M21,7219
11929574_M11,5240
11929574_M11,4510
11929574_M11,7217
11929574_M11,6996
11929574_M11,3912
11929574_M11,5199
11929574_M11,5224
11929574_M11,7219
11929574_M21,5240
11929574_M21,4510
11929574_M21,7217
11929574_M21,6996
11929574_M21,3912
11929574_M21,5199
11929574_M21,5224
11929574_M21,7219
11929575_M11,5240
11929575_M11,4510
11929575_M11,7217
11929575_M11,6996
11929575_M11,3912
11929575_M11,5199
11929575_M11,5224
11929575_M11,7219
11929575_M21,5240
11929575_M21,4510
11929575_M21,7217
11929575_M21,6996
11929575_M21,3912
11929575_M21,5199
11929575_M21,5224
11929575_M21,7219
11929576_M11,5240
11929576_M11,4510
11929576_M11,7217
11929576_M11,6996
11929576_M11,3912
11929576_M11,5199
11929576_M11,5224
11929576_M11,7219
11929576_M21,5240
11929576_M21,4510
11929576_M21,7217
11929576_M21,6996
11929576_M21,3912
11929576_M21,5199
11929576_M21,5224
11929576_M21,7219
11929577_M11,5240
11929577_M11,4510
11929577_M11,7217
11929577_M11,6996
11929577_M11,3912
11929577_M11,5199
11929577_M11,5224
11929577_M11,7219
11929577_M21,5240
11929577_M21,4510
11929577_M21,7217
11929577_M21,6996
11929577_M21,3912
11929577_M21,5199
11929577_M21,5224
11929577_M21,7219
11929578_M11,5240
11929578_M11,4510
11929578_M11,7217
11929578_M11,6996
11929578_M11,3912
11929578_M11,5199
11929578_M11,5224
11929578_M11,7219
11929578_M21,5240
11929578_M21,4510
11929578_M21,7217
11929578_M21,6996
11929578_M21,3912
11929578_M21,5199
11929578_M21,5224
11929578_M21,7219
11929579_M11,5240
11929579_M11,4510
11929579_M11,7217
11929579_M11,6996
11929579_M11,3912
11929579_M11,5199
11929579_M11,5224
11929579_M11,7219
11929579_M21,5240
11929579_M21,4510
11929579_M21,7217
11929579_M21,6996
11929579_M21,3912
11929579_M21,5199
11929579_M21,5224
11929579_M21,7219
11929580_M11,5240
11929580_M11,4510
11929580_M11,7217
11929580_M11,6996
11929580_M11,3912
11929580_M11,5199
11929591_M11,5224
11929591_M11,7219
11929591_M21,5240
11929591_M21,4510
11929591_M21,7217
11929591_M21,6996
11929591_M21,3912
11929591_M21,5199
11929591_M21,5224
11929591_M21,7219
11929592_M11,5240
11929592_M11,4510
11929592_M11,7217
11929592_M11,6996
11929592_M11,3912
11929592_M11,5199
11929592_M11,5224
11929592_M11,7219
11929592_M21,5240
11929592_M21,4510
11929592_M21,7217
11929592_M21,6996
11929592_M21,3912
11929592_M21,5199
11929592_M21,5224
11929592_M21,7219
11929593_M11,5240
11929593_M11,4510
11929593_M11,7217
11929593_M11,6996
11929593_M11,3912
11929593_M11,5199
11929593_M11,5224
11929593_M11,7219
11929593_M21,5240
11929593_M21,4510
11929593_M21,7217
11929593_M21,6996
11929593_M21,3912
11929593_M21,5199
11929593_M21,5224
11929593_M21,7219
11929594_M11,5240
11929594_M11,4510
11929594_M11,7217
11929594_M11,6996
11929594_M11,3912
11929594_M11,5199
11929594_M11,5224
11929594_M11,7219
11929594_M21,5240
11929594_M21,4510
11929594_M21,7217
11929594_M21,6996
11929594_M21,3912
11929594_M21,5199
11929594_M21,5224
11929594_M21,7219
11929595_M11,5240
11929595_M11,4510
11929595_M11,7217
11929595_M11,6996
11929595_M11,3912
11929595_M11,5199
11929595_M11,5224
11929595_M11,7219
11929595_M21,5240
11929595_M21,4510
11929595_M21,7217
11929595_M21,6996
11929595_M21,3912
11929595_M21,5199
11929595_M21,5224
11929595_M21,7219
11929596_M11,5240
11929596_M11,4510
11929596_M11,7217
11929596_M11,6996
11929596_M11,3912
11929596_M11,5199
11929596_M11,5224
11929596_M11,7219
11929596_M21,5240
11929596_M21,4510
11929596_M21,7217
11929596_M21,6996
11929596_M21,3912
11929596_M21,5199
11929596_M21,5224
11929580_M11,5224
11929580_M11,7219
11929580_M21,5240
11929580_M21,4510
11929580_M21,7217
11929580_M21,6996
11929580_M21,3912
11929580_M21,5199
11929580_M21,5224
11929580_M21,7219
11929581_M11,5240
11929581_M11,4510
11929581_M11,7217
11929581_M11,6996
11929581_M11,3912
11929581_M11,5199
11929581_M11,5224
11929581_M11,7219
11929581_M21,5240
11929581_M21,4510
11929581_M21,7217
11929581_M21,6996
11929581_M21,3912
11929581_M21,5199
11929581_M21,5224
11929581_M21,7219
11929582_M11,5240
11929582_M11,4510
11929582_M11,7217
11929582_M11,6996
11929582_M11,3912
11929582_M11,5199
11929582_M11,5224
11929582_M11,7219
11929582_M21,5240
11929582_M21,4510
11929582_M21,7217
11929582_M21,6996
11929582_M21,3912
11929582_M21,5199
11929582_M21,5224
11929582_M21,7219
11929583_M11,5240
11929583_M11,4510
11929583_M11,7217
11929583_M11,6996
11929583_M11,3912
11929583_M11,5199
11929583_M11,5224
11929583_M11,7219
11929583_M21,5240
11929583_M21,4510
11929583_M21,7217
11929583_M21,6996
11929583_M21,3912
11929583_M21,5199
11929583_M21,5224
11929583_M21,7219
11929584_M11,5240
11929584_M11,4510
11929584_M11,7217
11929584_M11,6996
11929584_M11,3912
11929584_M11,5199
11929584_M11,5224
11929584_M11,7219
11929584_M21,5240
11929584_M21,4510
11929584_M21,7217
11929584_M21,6996
11929584_M21,3912
11929584_M21,5199
11929584_M21,5224
11929584_M21,7219
11929585_M11,5240
11929585_M11,4510
11929585_M11,7217
11929585_M11,6996
11929585_M11,3912
11929585_M11,5199
11929585_M11,5224
11929585_M11,7219
11929585_M21,5240
11929585_M21,4510
11929585_M21,7217
11929585_M21,6996
11929585_M21,3912
11929585_M21,5199
11929585_M21,5224
11929585_M21,7219
11929586_M11,5240
11929586_M11,4510
11929586_M11,7217
11929586_M11,6996
11929586_M11,3912
11929586_M11,5199
11929586_M11,5224
11929586_M11,7219
11929586_M21,5240
11929586_M21,4510
11929586_M21,7217
11929586_M21,6996
11929586_M21,3912
11929586_M21,5199
11929586_M21,5224
11929586_M21,7219
11929587_M11,5240
11929587_M11,4510
11929587_M11,7217
11929587_M11,6996
11929587_M11,3912
11929587_M11,5199
11929587_M11,5224
11929587_M11,7219
11929587_M21,5240
11929587_M21,4510
11929587_M21,7217
11929587_M21,6996
11929587_M21,3912
11929587_M21,5199
11929587_M21,5224
11929587_M21,7219
11929588_M11,5240
11929588_M11,4510
11929588_M11,7217
11929588_M11,6996
11929588_M11,3912
11929588_M11,5199
11929588_M11,5224
11929588_M11,7219
11929588_M21,5240
11929588_M21,7217
11929588_M21,6996
11929588_M21,3912
11929588_M21,5199
11929588_M21,5224
11929588_M21,7219
11929589_M11,5240
11929589_M11,4510
11929589_M11,7217
11929589_M11,6996
11929589_M11,3912
11929589_M11,5199
11929589_M11,5224
11929589_M11,7219
11929589_M21,5240
11929589_M21,4510
11929589_M21,7217
11929589_M21,6996
11929589_M21,3912
11929589_M21,5199
11929589_M21,5224
11929589_M21,7219
11929590_M11,5240
11929590_M11,4510
11929590_M11,7217
11929590_M11,6996
11929590_M11,3912
11929590_M11,5199
11929590_M11,5224
11929590_M11,7219
11929590_M21,5240
11929590_M21,4510
11929590_M21,7217
11929590_M21,6996
11929590_M21,3912
11929590_M21,5199
11929590_M21,5224
11929590_M21,7219
11929591_M11,5240
11929591_M11,4510
11929591_M11,7217
11929591_M11,6996
11929591_M11,3912
11929591_M11,5199
11929561_M11,5240
11929561_M11,4510
11929561_M11,7217
11929561_M11,6996
11929561_M11,3912
11929561_M11,5199
11929561_M11,5224
11929561_M11,7219
11929561_M21,5240
11929561_M21,4510
11929561_M21,7217
11929561_M21,6996
11929561_M21,3912
11929561_M21,5199
11929561_M21,5224
11929561_M21,7219
11929562_M11,5240
11929562_M11,4510
11929562_M11,7217
11929562_M11,6996
11929562_M11,3912
11929562_M11,5199
11929562_M11,5224
11929562_M11,7219
11929562_M21,5240
11929562_M21,4510
11929562_M21,7217
11929562_M21,6996
11929562_M21,3912
11929562_M21,5199
11929562_M21,5224
11929562_M21,7219
11929563_M11,3912
11929563_M11,5199
11929563_M11,5224
11929563_M11,7219
11929563_M21,3912
11929563_M21,5199
11929563_M21,5224
11929563_M21,7219
11929564_M11,5240
11929564_M11,4510
11929564_M11,7217
11929564_M11,6996
11929564_M11,3912
11929564_M11,5199
11929564_M11,5224
11929564_M11,7219
11929564_M21,5240
11929564_M21,4510
11929564_M21,7217
11929564_M21,6996
11929564_M21,3912
11929564_M21,5199
11929564_M21,5224
11929564_M21,7219
11929565_M11,5240
11929565_M11,4510
11929565_M11,7217
11929565_M11,6996
11929565_M11,3912
11929565_M11,5199
11929565_M11,5224
11929565_M11,7219
11929565_M21,5240
11929565_M21,4510
11929565_M21,7217
11929565_M21,6996
11929565_M21,3912
11929565_M21,5199
11929565_M21,5224
11929565_M21,7219
11929566_M11,5240
11929566_M11,4510
11929566_M11,7217
11929566_M11,6996
11929566_M11,3912
11929566_M11,5199
11929566_M11,5224
11929566_M11,7219
11929566_M21,5240
11929566_M21,4510
11929566_M21,7217
11929566_M21,6996
11929566_M21,3912
11929566_M21,5199
11929566_M21,5224
11929566_M21,7219
11929567_M11,5240
11929567_M11,4510
11929567_M11,7217
11929567_M11,6996
11929567_M11,3912
11929567_M11,5199
11929567_M11,5224
11929567_M11,7219
11929567_M21,5240
11929567_M21,4510
11929567_M21,7217
11929567_M21,6996
11929567_M21,3912
11929567_M21,5199
11929567_M21,5224
11929567_M21,7219
11929568_M11,5240
11929568_M11,4510
11929568_M11,7217
11929568_M11,6996
11929568_M11,3912
11929568_M11,5199
11929568_M11,5224
11929568_M11,7219
11929568_M21,5240
11929568_M21,4510
11929568_M21,7217
11929568_M21,6996
11929568_M21,3912
11929568_M21,5199
11929568_M21,5224
11929568_M21,7219
11929569_M11,5240
11929569_M11,4510
11929569_M11,7217
11929569_M11,6996
11929569_M11,3912
11929569_M11,5199
11940020,6197
11940020,4132
11940020,4547
11940020,5633
11940021,3093
11940021,6000
11940021,6002
11940021,3208
11940021,3203
11940021,6197
11940021,4132
11940021,4547
11940021,5633
11940022,3093
11940022,6000
11940022,6002
11940022,3208
11940022,3203
11940022,6197
11940022,4132
11940022,4547
11940022,5633
11940023,3093
11940023,6000
11940023,6002
11940023,3208
11940023,3203
11940023,6197
11940023,4132
11940023,4547
11940023,5633
11940024,3093
11940024,6000
11940024,6002
11940024,3208
11940024,3203
11940024,6197
11940024,4132
11940024,4547
11940024,5633
11940025,3093
11940025,6000
11940025,6002
11940025,3208
11940025,3203
11940025,6197
11940025,4132
11940025,4547
11940025,5633
11940026,3093
11940026,6000
11940026,6002
11940026,3208
11940026,3203
11940026,6197
11940026,4132
11940026,4547
11940026,5633
11940027,3093
11940027,6000
11940027,6002
11940027,3208
11940027,3203
11940027,6197
11940027,4132
11940027,4547
11940027,5633
11940028,3093
11940028,6000
11940028,6002
11940028,3208
11940028,3203
11940028,6197
11940028,4132
11940028,4547
11940028,5633
11940029,3093
11940029,6000
11940029,6002
11940029,3208
11940029,6197
11940029,4132
11940029,4547
11940029,5633
11940030,3093
11940030,6000
11940030,6002
11940030,3208
11940030,3203
11940030,6197
11940030,4132
11940030,4547
11940030,5633
11940031,3093
11940031,6000
11940031,6002
11940031,3208
11940031,3203
11940031,6197
11940031,4132
11940031,4547
11940031,5633
11940032,3093
11940032,6000
11940032,6002
11940032,3208
11940032,3203
11940032,6197
11940032,4132
11940032,4547
11940032,5633
11940033,3093
11940033,6000
11940033,6002
11940033,3208
11940033,3203
11940033,6197
11940033,4132
11939933,7863
11939933,4968
11939933,4665
11939933,7312
11939933,6882
11939934,5165
11939934,5853
11939934,7863
11939934,4968
11939934,4665
11939934,7312
11939934,6882
11939935,6882
11939935,4677
11939935,4664
11939935,4658
11939935,5334
11939935,6333
11939935,5852
11939935,5165
11939936,6882
11939936,4677
11939936,4664
11939936,4658
11939936,5334
11939936,6333
11939936,5852
11939936,5165
11939937,6882
11939937,4677
11939937,4664
11939937,4658
11939937,5334
11939937,6333
11939937,5852
11939937,5165
11939938,6882
11939938,4677
11939938,4664
11939938,4658
11939938,5334
11939938,6333
11939938,5852
11939938,5165
11939939,6882
11939939,4677
11939939,4664
11939939,4658
11939939,5334
11939939,6333
11939939,5852
11939939,5165
11939940,6882
11939940,4677
11939940,4664
11939940,4658
11939940,5334
11939940,6333
11939940,5852
11939940,5165
11939941,6882
11939941,4677
11939941,4664
11939941,4658
11939941,5334
11939941,6333
11939941,5852
11939941,5165
11939942,6882
11939942,4677
11939942,4664
11939942,4658
11939942,5334
11939942,6333
11939942,5852
11939942,5165
11939943,6882
11939943,4677
11939943,4664
11939943,4658
11939943,5334
11939943,6333
11939943,5852
11939943,5165
11939944,5334
11939944,6333
11939944,5852
11939944,5165
11939945,6882
11939945,4677
11939945,4664
11939945,4658
11939945,5334
11939945,6333
11939945,5852
11939945,5165
11939946,5334
11939946,6333
11939946,5852
11939946,5165
11939947,6882
11939947,4677
11939947,4664
11939947,4658
11939947,5334
11939947,6333
11939947,5852
11939947,5165
11939948,5334
11939948,6333
11939948,5852
11939948,5165
11939949,6882
11939949,4677
11939949,4664
11939949,4658
11939949,5334
11939949,6333
11939949,5852
11939949,5165
11939950,5334
11939950,6333
11939950,5852
11939950,5165
11939951,6882
11939951,4677
11939951,4664
11939951,4658
11939951,5334
11939951,6333
11939951,5852
11939951,5165
11939952,5334
11939952,6333
11939952,5852
11939952,5165
11939953,6882
11939953,4677
11939953,4664
11939953,4658
11939953,5334
